Distence,Pressure,
3.67,-19.26,19.26
3.68,-19.28,19.28
3.68,-19.26,19.26
3.69,-19.28,19.28
3.7,-19.29,19.29
3.7,-19.27,19.27
3.71,-19.29,19.29
3.72,-19.31,19.31
3.73,-19.29,19.29
3.73,-19.31,19.31
3.74,-19.32,19.32
3.75,-19.31,19.31
3.75,-19.33,19.33
3.76,-19.34,19.34
3.77,-19.32,19.32
3.78,-19.33,19.33
3.78,-19.34,19.34
3.79,-19.33,19.33
3.8,-19.34,19.34
3.81,-19.35,19.35
3.81,-19.34,19.34
3.82,-19.35,19.35
3.83,-19.37,19.37
3.83,-19.36,19.36
3.84,-19.37,19.37
3.85,-19.38,19.38
3.86,-19.36,19.36
3.86,-19.38,19.38
3.87,-19.39,19.39
3.88,-19.37,19.37
3.88,-19.39,19.39
3.89,-19.4,19.4
3.9,-19.38,19.38
3.91,-19.41,19.41
3.92,-19.41,19.41
3.92,-19.39,19.39
3.93,-19.41,19.41
3.94,-19.42,19.42
3.94,-19.41,19.41
3.95,-19.43,19.43
3.96,-19.43,19.43
3.97,-19.42,19.42
3.97,-19.43,19.43
3.98,-19.44,19.44
3.99,-19.43,19.43
3.99,-19.45,19.45
4,-19.45,19.45
4.01,-19.44,19.44
4.02,-19.45,19.45
4.03,-19.47,19.47
4.03,-19.45,19.45
4.04,-19.46,19.46
4.05,-19.47,19.47
4.05,-19.45,19.45
4.06,-19.48,19.48
4.07,-19.48,19.48
4.08,-19.47,19.47
4.08,-19.49,19.49
4.09,-19.48,19.48
4.1,-19.47,19.47
4.1,-19.5,19.5
4.11,-19.5,19.5
4.12,-19.49,19.49
4.13,-19.51,19.51
4.13,-19.51,19.51
4.14,-19.49,19.49
4.15,-19.52,19.52
4.16,-19.52,19.52
4.16,-19.51,19.51
4.17,-19.53,19.53
4.18,-19.53,19.53
4.18,-19.51,19.51
4.19,-19.54,19.54
4.2,-19.54,19.54
4.21,-19.53,19.53
4.21,-19.55,19.55
4.22,-19.54,19.54
4.23,-19.53,19.53
4.23,-19.56,19.56
4.24,-19.56,19.56
4.25,-19.54,19.54
4.26,-19.57,19.57
4.27,-19.56,19.56
4.27,-19.55,19.55
4.28,-19.58,19.58
4.29,-19.58,19.58
4.29,-19.57,19.57
4.3,-19.59,19.59
4.31,-19.59,19.59
4.32,-19.58,19.58
4.32,-19.6,19.6
4.33,-19.6,19.6
4.34,-19.59,19.59
4.34,-19.61,19.61
4.35,-19.6,19.6
4.36,-19.59,19.59
4.37,-19.62,19.62
4.38,-19.62,19.62
4.38,-19.6,19.6
4.39,-19.63,19.63
4.4,-19.62,19.62
4.4,-19.61,19.61
4.41,-19.64,19.64
4.42,-19.63,19.63
4.43,-19.62,19.62
4.43,-19.64,19.64
4.44,-19.64,19.64
4.45,-19.62,19.62
4.45,-19.65,19.65
4.46,-19.65,19.65
4.47,-19.64,19.64
4.48,-19.66,19.66
4.48,-19.66,19.66
4.49,-19.64,19.64
4.5,-19.67,19.67
4.51,-19.67,19.67
4.51,-19.65,19.65
4.52,-19.67,19.67
4.53,-19.67,19.67
4.53,-19.66,19.66
4.54,-19.68,19.68
4.55,-19.69,19.69
4.56,-19.67,19.67
4.56,-19.69,19.69
4.57,-19.69,19.69
4.58,-19.68,19.68
4.58,-19.7,19.7
4.59,-19.7,19.7
4.6,-19.69,19.69
4.61,-19.71,19.71
4.62,-19.7,19.7
4.62,-19.68,19.68
4.63,-19.71,19.71
4.64,-19.71,19.71
4.64,-19.7,19.7
4.65,-19.72,19.72
4.66,-19.72,19.72
4.67,-19.71,19.71
4.67,-19.73,19.73
4.68,-19.73,19.73
4.69,-19.71,19.71
4.69,-19.74,19.74
4.7,-19.73,19.73
4.71,-19.72,19.72
4.72,-19.75,19.75
4.73,-19.75,19.75
4.73,-19.73,19.73
4.74,-19.76,19.76
4.75,-19.75,19.75
4.75,-19.74,19.74
4.76,-19.76,19.76
4.77,-19.77,19.77
4.78,-19.75,19.75
4.78,-19.77,19.77
4.79,-19.77,19.77
4.8,-19.76,19.76
4.8,-19.78,19.78
4.81,-19.78,19.78
4.82,-19.76,19.76
4.83,-19.78,19.78
4.83,-19.78,19.78
4.84,-19.76,19.76
4.85,-19.79,19.79
4.86,-19.79,19.79
4.86,-19.77,19.77
4.87,-19.8,19.8
4.88,-19.8,19.8
4.88,-19.81,19.81
4.89,-19.83,19.83
4.9,-19.81,19.81
4.91,-19.82,19.82
4.92,-19.84,19.84
4.92,-19.81,19.81
4.93,-19.83,19.83
4.94,-19.84,19.84
4.94,-19.82,19.82
4.95,-19.83,19.83
4.96,-19.84,19.84
4.97,-19.82,19.82
4.97,-19.84,19.84
4.98,-19.86,19.86
4.99,-19.84,19.84
4.99,-19.85,19.85
5,-19.87,19.87
5.01,-19.86,19.86
5.02,-19.87,19.87
5.03,-19.86,19.86
5.03,-19.84,19.84
5.04,-19.86,19.86
5.05,-19.87,19.87
5.05,-19.86,19.86
5.06,-19.87,19.87
5.07,-19.88,19.88
5.08,-19.86,19.86
5.08,-19.87,19.87
5.09,-19.89,19.89
5.1,-19.87,19.87
5.1,-19.88,19.88
5.11,-19.89,19.89
5.12,-19.87,19.87
5.13,-19.89,19.89
5.13,-19.91,19.91
5.14,-19.88,19.88
5.15,-19.9,19.9
5.16,-19.91,19.91
5.16,-19.9,19.9
5.17,-19.92,19.92
5.18,-19.92,19.92
5.18,-19.9,19.9
5.19,-19.91,19.91
5.2,-19.92,19.92
5.21,-19.91,19.91
5.21,-19.92,19.92
5.22,-19.93,19.93
5.23,-19.91,19.91
5.23,-19.92,19.92
5.24,-19.94,19.94
5.25,-19.92,19.92
5.26,-19.93,19.93
5.27,-19.95,19.95
5.27,-19.92,19.92
5.28,-19.94,19.94
5.29,-19.96,19.96
5.29,-19.93,19.93
5.3,-19.95,19.95
5.31,-19.96,19.96
5.32,-19.95,19.95
5.32,-19.97,19.97
5.33,-19.98,19.98
5.34,-19.96,19.96
5.34,-19.97,19.97
5.35,-19.98,19.98
5.36,-19.97,19.97
5.37,-19.98,19.98
5.38,-19.99,19.99
5.38,-19.97,19.97
5.39,-19.98,19.98
5.4,-20,20
5.4,-19.99,19.99
5.41,-19.99,19.99
5.42,-20.01,20.01
5.43,-19.99,19.99
5.43,-20,20
5.44,-20.02,20.02
5.45,-20,20
5.45,-20.01,20.01
5.46,-20.02,20.02
5.47,-20,20
5.48,-20.02,20.02
5.48,-20.04,20.04
5.49,-20.01,20.01
5.5,-20.03,20.03
5.51,-20.04,20.04
5.51,-20.02,20.02
5.52,-20.04,20.04
5.53,-20.04,20.04
5.53,-20.03,20.03
5.54,-20.04,20.04
5.55,-20.05,20.05
5.56,-20.04,20.04
5.56,-20.05,20.05
5.57,-20.06,20.06
5.58,-20.04,20.04
5.58,-20.05,20.05
5.59,-20.06,20.06
5.6,-20.05,20.05
5.61,-20.06,20.06
5.62,-20.07,20.07
5.62,-20.04,20.04
5.63,-20.06,20.06
5.64,-20.08,20.08
5.64,-20.06,20.06
5.65,-20.07,20.07
5.66,-20.08,20.08
5.67,-20.07,20.07
5.67,-20.09,20.09
5.68,-20.1,20.1
5.69,-20.08,20.08
5.69,-20.09,20.09
5.7,-20.09,20.09
5.71,-20.08,20.08
5.72,-20.1,20.1
5.73,-20.1,20.1
5.73,-20.08,20.08
5.74,-20.09,20.09
5.75,-20.11,20.11
5.75,-20.09,20.09
5.76,-20.11,20.11
5.77,-20.11,20.11
5.78,-20.09,20.09
5.78,-20.11,20.11
5.79,-20.11,20.11
5.8,-20.1,20.1
5.8,-20.11,20.11
5.81,-20.11,20.11
5.82,-20.09,20.09
5.83,-20.12,20.12
5.83,-20.12,20.12
5.84,-20.11,20.11
5.85,-20.13,20.13
5.86,-20.12,20.12
5.86,-20.11,20.11
5.87,-20.13,20.13
5.88,-20.14,20.14
5.88,-20.12,20.12
5.89,-20.14,20.14
5.9,-20.13,20.13
5.91,-20.12,20.12
5.91,-20.14,20.14
5.92,-20.14,20.14
5.93,-20.13,20.13
5.93,-20.15,20.15
5.94,-20.14,20.14
5.95,-20.13,20.13
5.96,-20.15,20.15
5.97,-20.15,20.15
5.97,-20.14,20.14
5.98,-20.16,20.16
5.99,-20.15,20.15
5.99,-20.14,20.14
6,-20.16,20.16
6.01,-20.16,20.16
6.02,-20.15,20.15
6.02,-20.18,20.18
6.03,-20.17,20.17
6.04,-20.15,20.15
6.04,-20.18,20.18
6.05,-20.18,20.18
6.06,-20.16,20.16
6.07,-20.18,20.18
6.08,-20.17,20.17
6.08,-20.16,20.16
6.09,-20.18,20.18
6.1,-20.18,20.18
6.1,-20.17,20.17
6.11,-20.19,20.19
6.12,-20.18,20.18
6.13,-20.16,20.16
6.13,-20.19,20.19
6.14,-20.19,20.19
6.15,-20.17,20.17
6.15,-20.19,20.19
6.16,-20.19,20.19
6.17,-20.17,20.17
6.18,-20.19,20.19
6.18,-20.2,20.2
6.19,-20.18,20.18
6.2,-20.21,20.21
6.21,-20.2,20.2
6.21,-20.19,20.19
6.22,-20.21,20.21
6.23,-20.21,20.21
6.23,-20.2,20.2
6.24,-20.21,20.21
6.25,-20.21,20.21
6.26,-20.2,20.2
6.26,-20.22,20.22
6.27,-20.22,20.22
6.28,-20.21,20.21
6.28,-20.22,20.22
6.29,-20.22,20.22
6.3,-20.2,20.2
6.31,-20.23,20.23
6.32,-20.23,20.23
6.32,-20.21,20.21
6.33,-20.23,20.23
6.34,-20.22,20.22
6.34,-20.21,20.21
6.35,-20.23,20.23
6.36,-20.23,20.23
6.37,-20.22,20.22
6.37,-20.24,20.24
6.38,-20.23,20.23
6.39,-20.21,20.21
6.39,-20.23,20.23
6.4,-20.24,20.24
6.41,-20.22,20.22
6.42,-20.24,20.24
6.43,-20.23,20.23
6.43,-20.22,20.22
6.44,-20.24,20.24
6.45,-20.24,20.24
6.45,-20.22,20.22
6.46,-20.24,20.24
6.47,-20.24,20.24
6.48,-20.23,20.23
6.48,-20.25,20.25
6.49,-20.25,20.25
6.5,-20.24,20.24
6.5,-20.25,20.25
6.51,-20.25,20.25
6.52,-20.23,20.23
6.53,-20.25,20.25
6.53,-20.25,20.25
6.54,-20.24,20.24
6.55,-20.26,20.26
6.56,-20.25,20.25
6.56,-20.24,20.24
6.57,-20.26,20.26
6.58,-20.26,20.26
6.58,-20.25,20.25
6.59,-20.26,20.26
6.6,-20.26,20.26
6.61,-20.24,20.24
6.61,-20.26,20.26
6.62,-20.27,20.27
6.63,-20.26,20.26
6.63,-20.29,20.29
6.64,-20.3,20.3
6.65,-20.28,20.28
6.66,-20.28,20.28
6.67,-20.28,20.28
6.67,-20.27,20.27
6.68,-20.28,20.28
6.69,-20.27,20.27
6.69,-20.26,20.26
6.7,-20.28,20.28
6.71,-20.28,20.28
6.72,-20.26,20.26
6.73,-20.28,20.28
6.73,-20.28,20.28
6.74,-20.29,20.29
6.75,-20.31,20.31
6.75,-20.29,20.29
6.76,-20.3,20.3
6.77,-20.31,20.31
6.78,-20.29,20.29
6.78,-20.3,20.3
6.79,-20.32,20.32
6.8,-20.3,20.3
6.8,-20.3,20.3
6.81,-20.32,20.32
6.82,-20.29,20.29
6.83,-20.31,20.31
6.83,-13.31,20.3
6.92,-20.3,20.3
6.93,-20.3,20.3
6.93,-20.29,20.29
6.94,-20.32,20.32
6.95,-20.31,20.31
6.96,-20.29,20.29
6.96,-20.32,20.32
6.97,-20.32,20.32
6.98,-20.3,20.3
6.98,-20.33,20.33
6.99,-20.32,20.32
7,-20.3,20.3
7.01,-20.33,20.33
7.02,-20.32,20.32
7.02,-20.3,20.3
7.03,-20.32,20.32
7.04,-20.32,20.32
7.04,-20.33,20.33
7.05,-20.35,20.35
7.06,-20.33,20.33
7.07,-20.34,20.34
7.08,-20.35,20.35
7.08,-20.32,20.32
7.09,-20.34,20.34
7.1,-20.35,20.35
7.1,-20.33,20.33
7.11,-20.34,20.34
7.12,-20.35,20.35
7.13,-20.33,20.33
7.13,-20.34,20.34
7.14,-20.35,20.35
7.15,-20.33,20.33
7.15,-20.34,20.34
7.16,-20.35,20.35
7.17,-20.34,20.34
7.18,-20.35,20.35
7.18,-20.36,20.36
7.19,-20.34,20.34
7.2,-20.34,20.34
7.21,-20.36,20.36
7.21,-20.35,20.35
7.22,-20.37,20.37
7.23,-20.39,20.39
7.23,-20.37,20.37
7.24,-20.36,20.36
7.25,-20.38,20.38
7.26,-20.35,20.35
7.26,-20.36,20.36
7.27,-20.37,20.37
7.28,-20.35,20.35
7.28,-20.36,20.36
7.29,-20.38,20.38
7.3,-20.36,20.36
7.31,-20.37,20.37
7.32,-20.38,20.38
7.32,-20.36,20.36
7.33,-20.37,20.37
7.34,-20.38,20.38
7.34,-20.36,20.36
7.35,-20.37,20.37
7.36,-20.38,20.38
7.37,-20.37,20.37
7.37,-20.37,20.37
7.38,-20.38,20.38
7.39,-20.36,20.36
7.39,-20.37,20.37
7.4,-20.39,20.39
7.41,-20.37,20.37
7.42,-20.37,20.37
7.43,-20.39,20.39
7.43,-20.37,20.37
7.44,-20.38,20.38
7.45,-20.4,20.4
7.45,-20.37,20.37
7.46,-20.38,20.38
7.47,-20.39,20.39
7.48,-20.38,20.38
7.48,-20.39,20.39
7.49,-20.4,20.4
7.5,-20.37,20.37
7.5,-20.38,20.38
7.51,-20.39,20.39
7.52,-20.38,20.38
7.53,-20.39,20.39
7.53,-20.4,20.4
7.54,-20.38,20.38
7.55,-20.38,20.38
7.56,-20.4,20.4
7.56,-20.38,20.38
7.57,-20.38,20.38
7.58,-20.39,20.39
7.58,-20.37,20.37
7.59,-20.39,20.39
7.6,-20.4,20.4
7.61,-20.38,20.38
7.61,-20.39,20.39
7.62,-20.4,20.4
7.63,-20.38,20.38
7.63,-20.4,20.4
7.64,-20.41,20.41
7.65,-20.39,20.39
7.66,-20.39,20.39
7.67,-20.4,20.4
7.67,-20.39,20.39
7.68,-20.4,20.4
7.69,-20.4,20.4
7.69,-20.39,20.39
7.7,-20.4,20.4
7.71,-20.41,20.41
7.72,-20.39,20.39
7.72,-20.4,20.4
7.73,-20.4,20.4
7.74,-20.38,20.38
7.74,-20.39,20.39
7.75,-20.41,20.41
7.76,-20.39,20.39
7.77,-20.41,20.41
7.78,-20.42,20.42
7.78,-20.39,20.39
7.79,-20.41,20.41
7.8,-20.42,20.42
7.8,-20.4,20.4
7.81,-20.4,20.4
7.82,-20.41,20.41
7.83,-20.4,20.4
7.83,-20.41,20.41
7.84,-20.42,20.42
7.85,-20.4,20.4
7.85,-20.41,20.41
7.86,-20.42,20.42
7.87,-20.41,20.41
7.88,-20.41,20.41
7.88,-20.42,20.42
7.89,-20.4,20.4
7.9,-20.41,20.41
7.91,-20.42,20.42
7.91,-20.4,20.4
7.92,-20.41,20.41
7.93,-20.42,20.42
7.93,-20.4,20.4
7.94,-20.41,20.41
7.95,-20.43,20.43
7.96,-20.4,20.4
